x,y,anxiety
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
1200.0,300.0,9.254079020070895
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,550.0,21.377144329712717
505.0,580.0,12.679411376754492
505.0,780.0,41.60271627083001
50.0,1000.0,40.70987339246582
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
400.0,1000.0,1.5087807152567647
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
1100.0,780.0,51.76631118738111
50.0,300.0,24.01528798551396
100.0,300.0,76.09047254668486
200.0,300.0,8.467536266093786
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
1200.0,300.0,9.254079020070895
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,550.0,21.377144329712717
505.0,580.0,12.679411376754492
505.0,780.0,41.60271627083001
50.0,1000.0,40.70987339246582
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
400.0,1000.0,1.5087807152567647
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
1100.0,780.0,51.76631118738111
50.0,300.0,24.01528798551396
100.0,300.0,76.09047254668486
200.0,300.0,8.467536266093786
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
1200.0,300.0,9.254079020070895
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,550.0,21.377144329712717
505.0,580.0,12.679411376754492
505.0,780.0,41.60271627083001
50.0,1000.0,40.70987339246582
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
400.0,1000.0,1.5087807152567647
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
1100.0,780.0,51.76631118738111
50.0,300.0,24.01528798551396
100.0,300.0,76.09047254668486
200.0,300.0,8.467536266093786
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
1200.0,300.0,9.254079020070895
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,550.0,21.377144329712717
505.0,580.0,12.679411376754492
505.0,780.0,41.60271627083001
50.0,1000.0,40.70987339246582
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
400.0,1000.0,1.5087807152567647
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
1100.0,780.0,51.76631118738111
50.0,300.0,24.01528798551396
100.0,300.0,76.09047254668486
200.0,300.0,8.467536266093786
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
1200.0,300.0,9.254079020070895
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,550.0,21.377144329712717
505.0,580.0,12.679411376754492
505.0,780.0,41.60271627083001
50.0,1000.0,40.70987339246582
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
400.0,1000.0,1.5087807152567647
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
1100.0,780.0,51.76631118738111
50.0,300.0,24.01528798551396
100.0,300.0,76.09047254668486
200.0,300.0,8.467536266093786
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
1200.0,300.0,9.254079020070895
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,550.0,21.377144329712717
505.0,580.0,12.679411376754492
505.0,780.0,41.60271627083001
50.0,1000.0,40.70987339246582
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
400.0,1000.0,1.5087807152567647
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
1100.0,780.0,51.76631118738111
50.0,300.0,24.01528798551396
100.0,300.0,76.09047254668486
200.0,300.0,8.467536266093786
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
1200.0,300.0,9.254079020070895
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,550.0,21.377144329712717
505.0,580.0,12.679411376754492
505.0,780.0,41.60271627083001
50.0,1000.0,40.70987339246582
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
400.0,1000.0,1.5087807152567647
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
1100.0,780.0,51.76631118738111
100.0,300.0,76.09047254668486
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,580.0,12.679411376754492
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
100.0,300.0,76.09047254668486
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,580.0,12.679411376754492
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
100.0,300.0,76.09047254668486
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,580.0,12.679411376754492
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
100.0,300.0,76.09047254668486
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,580.0,12.679411376754492
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
100.0,300.0,76.09047254668486
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,580.0,12.679411376754492
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
1100.0,550.0,3.260042462354232
1100.0,580.0,32.961374471436166
100.0,300.0,76.09047254668486
250.0,300.0,5.086317716329076
300.0,300.0,25.402954377235467
350.0,300.0,13.919756943777896
400.0,300.0,27.191565366198663
450.0,300.0,8.001312471662366
500.0,300.0,12.98759206031912
550.0,300.0,35.972620089809254
600.0,300.0,28.39246611328603
650.0,300.0,42.32447812493326
1000.0,300.0,54.06871695923888
205.0,50.0,11.1955343874766
205.0,100.0,23.909239635683104
205.0,150.0,24.264294292627664
205.0,200.0,38.21434330586401
205.0,250.0,37.50268010256944
205.0,300.0,25.98302621020816
205.0,800.0,12.992446918932494
205.0,550.0,16.789502955886785
205.0,1250.0,28.36521433272493
505.0,350.0,18.25756241964537
505.0,400.0,56.1578478380423
505.0,450.0,13.547858955593256
505.0,500.0,2.015551393844728
505.0,580.0,12.679411376754492
100.0,1000.0,43.43147820692948
800.0,1000.0,81.92579872610224
650.0,1000.0,12.828998618939432
300.0,300.0,44.21483989310745
350.0,1000.0,53.05022982647892
450.0,1000.0,27.699620988795907
500.0,1000.0,49.4112213484372
550.0,1000.0,55.23808058706047
600.0,1000.0,60.27245911640899
150.0,1000.0,10.732184837500482
1000.0,1000.0,37.02670650821571
1200.0,1000.0,74.2256897247492
800.0,50.0,42.88523951997982
205.0,100.0,44.07662050660416
800.0,150.0,82.3792223728624
800.0,200.0,72.7902527285352
800.0,250.0,11.52059375102952
205.0,300.0,3.964060563276092
800.0,800.0,14.85074312005371
205.0,550.0,17.09176364034771
800.0,1250.0,53.29539234225204
1100.0,350.0,28.638594436110267
1100.0,400.0,26.970876720358916
1100.0,450.0,24.99888075891482
1100.0,500.0,38.29840578341536
